"","min.expression","batch.size","learning.rate","n.steps"
"A1B1C1D1",0.1,50,1e-04,100
"A2B1C1D1",1,50,1e-04,100
"A3B1C1D1",5,50,1e-04,100
"A1B2C1D1",0.1,128,1e-04,100
"A2B2C1D1",1,128,1e-04,100
"A3B2C1D1",5,128,1e-04,100
"A1B3C1D1",0.1,200,1e-04,100
"A2B3C1D1",1,200,1e-04,100
"A3B3C1D1",5,200,1e-04,100
"A1B1C2D1",0.1,50,0.001,100
"A2B1C2D1",1,50,0.001,100
"A3B1C2D1",5,50,0.001,100
"A1B2C2D1",0.1,128,0.001,100
"A2B2C2D1",1,128,0.001,100
"A3B2C2D1",5,128,0.001,100
"A1B3C2D1",0.1,200,0.001,100
"A2B3C2D1",1,200,0.001,100
"A3B3C2D1",5,200,0.001,100
"A1B1C3D1",0.1,50,0.01,100
"A2B1C3D1",1,50,0.01,100
"A3B1C3D1",5,50,0.01,100
"A1B2C3D1",0.1,128,0.01,100
"A2B2C3D1",1,128,0.01,100
"A3B2C3D1",5,128,0.01,100
"A1B3C3D1",0.1,200,0.01,100
"A2B3C3D1",1,200,0.01,100
"A3B3C3D1",5,200,0.01,100
"A1B1C1D2",0.1,50,1e-04,500
"A2B1C1D2",1,50,1e-04,500
"A3B1C1D2",5,50,1e-04,500
"A1B2C1D2",0.1,128,1e-04,500
"A2B2C1D2",1,128,1e-04,500
"A3B2C1D2",5,128,1e-04,500
"A1B3C1D2",0.1,200,1e-04,500
"A2B3C1D2",1,200,1e-04,500
"A3B3C1D2",5,200,1e-04,500
"A1B1C2D2",0.1,50,0.001,500
"A2B1C2D2",1,50,0.001,500
"A3B1C2D2",5,50,0.001,500
"A1B2C2D2",0.1,128,0.001,500
"A2B2C2D2",1,128,0.001,500
"A3B2C2D2",5,128,0.001,500
"A1B3C2D2",0.1,200,0.001,500
"A2B3C2D2",1,200,0.001,500
"A3B3C2D2",5,200,0.001,500
"A1B1C3D2",0.1,50,0.01,500
"A2B1C3D2",1,50,0.01,500
"A3B1C3D2",5,50,0.01,500
"A1B2C3D2",0.1,128,0.01,500
"A2B2C3D2",1,128,0.01,500
"A3B2C3D2",5,128,0.01,500
"A1B3C3D2",0.1,200,0.01,500
"A2B3C3D2",1,200,0.01,500
"A3B3C3D2",5,200,0.01,500
"A1B1C1D3",0.1,50,1e-04,1000
"A2B1C1D3",1,50,1e-04,1000
"A3B1C1D3",5,50,1e-04,1000
"A1B2C1D3",0.1,128,1e-04,1000
"A2B2C1D3",1,128,1e-04,1000
"A3B2C1D3",5,128,1e-04,1000
"A1B3C1D3",0.1,200,1e-04,1000
"A2B3C1D3",1,200,1e-04,1000
"A3B3C1D3",5,200,1e-04,1000
"A1B1C2D3",0.1,50,0.001,1000
"A2B1C2D3",1,50,0.001,1000
"A3B1C2D3",5,50,0.001,1000
"A1B2C2D3",0.1,128,0.001,1000
"A2B2C2D3",1,128,0.001,1000
"A3B2C2D3",5,128,0.001,1000
"A1B3C2D3",0.1,200,0.001,1000
"A2B3C2D3",1,200,0.001,1000
"A3B3C2D3",5,200,0.001,1000
"A1B1C3D3",0.1,50,0.01,1000
"A2B1C3D3",1,50,0.01,1000
"A3B1C3D3",5,50,0.01,1000
"A1B2C3D3",0.1,128,0.01,1000
"A2B2C3D3",1,128,0.01,1000
"A3B2C3D3",5,128,0.01,1000
"A1B3C3D3",0.1,200,0.01,1000
"A2B3C3D3",1,200,0.01,1000
"A3B3C3D3",5,200,0.01,1000
