"","corrected.Before_A1B1","corrected.Before_A2B1","corrected.Before_A1B2","corrected.Before_A2B2","corrected.After_A1B1","corrected.After_A2B1","corrected.After_A1B2","corrected.After_A2B2","uncorrected_A1B1","uncorrected_A2B1","uncorrected_A1B2","uncorrected_A2B2"
"S52",0.210375678140091,0.277293437909271,0.21016384978537,0.277124111258637,0.247665025176782,0.290584207648146,0.24446249490434,0.290393024048594,0.210375678140091,0.277293437909271,0.21016384978537,0.277124111258638
"NIC4",0.166625788758453,0.182739000037498,0.168763509609791,0.181327400816596,0.216998444296514,0.231343246796538,0.219005000692188,0.230605694209539,0.166625788758453,0.182739000037498,0.168763509609791,0.181327400816596
"NIC23",0.17762171630087,0.179215202411906,0.184072947940438,0.17943600317436,0.220221135927043,0.232544622630332,0.230762938393362,0.231042327088501,0.17762171630087,0.179215202411906,0.184072947940438,0.17943600317436
"NIC24",0.147915982978247,0.159278840169834,0.146199305585872,0.158128678643847,0.172192638724333,0.204669948420238,0.172461697484538,0.203596951628556,0.147915982978247,0.159278840169834,0.146199305585872,0.158128678643847
"NIC25",0.175397880844095,0.162951653401735,0.171187962109868,0.1647188412622,0.198587234044082,0.195776715239672,0.198537889811423,0.197727021165903,0.175397880844095,0.162951653401735,0.171187962109868,0.1647188412622
"NIC12nova",0.178740748220772,0.174466613700183,0.178095843885122,0.174999073493237,0.220636827704378,0.217647475376665,0.221348950800888,0.217381898718722,0.178740748220772,0.174466613700183,0.178095843885122,0.174999073493237
"NIC29",0.195626559024569,0.190893583656549,0.192115918399164,0.191135635273744,0.210785088982145,0.20094252442682,0.205509725474726,0.20185151618666,0.195626559024569,0.190893583656549,0.192115918399164,0.191135635273744
"NIC15",0.17132065415951,0.165663859519589,0.171506150614288,0.166526811752402,0.178764719332427,0.172930799595846,0.183573417429815,0.173929115859694,0.17132065415951,0.165663859519589,0.171506150614288,0.166526811752402
"NIC18",0.161210791284416,0.158774249417885,0.158228335818366,0.158918041439562,0.194224552910397,0.189626595204686,0.195275268002857,0.189820463892994,0.161210791284416,0.158774249417885,0.158228335818366,0.158918041439562
"NIC17",0.199860351256168,0.190876186031677,0.204318534588175,0.193204132162473,0.224254837733268,0.223794393686775,0.236724238637759,0.225974615225566,0.199860351256168,0.190876186031677,0.204318534588175,0.193204132162473
"NIC3",0.168761710051529,0.170911641415064,0.165851053590413,0.170877028980935,0.177938109038509,0.175049540127436,0.181538832691954,0.174259168672778,0.168761710051529,0.170911641415064,0.165851053590413,0.170877028980935
"NIC22",0.230509834343095,0.222350111637204,0.232196351634177,0.224227928092143,0.252365068197952,0.248320672905609,0.259176990384099,0.250054812206668,0.230509834343095,0.222350111637204,0.232196351634177,0.224227928092143
"NIC19",0.217242861537527,0.212734824830644,0.223348916989316,0.215174153532478,0.258474031503626,0.258893443236811,0.262141166261194,0.260957557350456,0.217242861537527,0.212734824830644,0.223348916989316,0.215174153532478
"NIC20",0.22651841246736,0.20333225161087,0.21288348457973,0.204622736326333,0.284824568493977,0.250643975502781,0.260831913524534,0.251404928540517,0.22651841246736,0.20333225161087,0.21288348457973,0.204622736326333
"NIC13",0.184465474972413,0.176240484254285,0.180205073428026,0.175001060753736,0.217163347056384,0.205652282425206,0.213446149732558,0.206170567481294,0.184465474972413,0.176240484254285,0.180205073428026,0.175001060753736
"NIC7",0.13718947548606,0.170040113756283,0.134769003921273,0.168878456444783,0.203660638013099,0.218429645802165,0.201045167264808,0.216954086741808,0.13718947548606,0.170040113756283,0.134769003921273,0.168878456444783
"MEAN",0.184336494989073,0.18736012836003,0.183369140154962,0.187768755837967,0.217422266695932,0.219803130564108,0.21786511509319,0.22013273431364,0.184336494989073,0.18736012836003,0.183369140154962,0.187768755837967
"TIME",75.2120740413666,168.839128732681,35.7798480987549,85.7377924919128,52.3621354103088,29.16166472435,16.6509807109833,37.9455082416534,3.25467658042908,28.5976004600525,17.0312819480896,34.0019397735596
