"","corrected.After_A1B1","corrected.After_A2B1","corrected.After_A3B1","corrected.After_A1B2","corrected.After_A2B2","corrected.After_A3B2","uncorrected_A1B1","uncorrected_A2B1","uncorrected_A3B1","uncorrected_A1B2","uncorrected_A2B2","uncorrected_A3B2"
"S52",0.21565992936146,0.334792764433054,0.261344093151633,0.355519958892457,0.330325211897139,0.184387334233914,0.189542199882931,0.186263019786183,0.140503436403031,0.207135294374072,0.179088078834683,0.151849229111722
"NIC4",0.186599440623598,0.134894286751804,0.135284611290428,0.156675709953718,0.133920849820166,0.137585577274912,0.119863376517055,0.0828299739502582,0.0721214846893906,0.0943811581296412,0.0824806798626568,0.0743990607476228
"NIC23",0.328527480583974,0.311844521441923,0.260070154261308,0.290503817969324,0.327855812089064,0.277214038591133,0.129692486971947,0.149867656732241,0.0931056878978496,0.139119279884608,0.143032417243659,0.11836417109619
"NIC24",0.177447778419482,0.157787601619466,0.168829719533648,0.167159276032953,0.139476864707125,0.183332234370479,0.154605047507934,0.152710808683179,0.117722219282518,0.144476881948654,0.132480831365002,0.132008970388546
"NIC25",0.107474308277237,0.289112647984311,0.352652592855585,0.275892790969628,0.269878828350316,0.0752371491950789,0.052121949240519,0.177070216354947,0.144913666097564,0.160230196304196,0.160986566320134,0.0680337891011468
"NIC12nova",0.183534048403002,0.149850941755734,0.126251382291616,0.157496496790962,0.147836756199515,0.136823475902175,0.139883164447383,0.0893009462694245,0.0725011497297742,0.108960105866027,0.086687532029436,0.0827711818349913
"NIC29",0.18263273246854,0.206485657334618,0.125038916338649,0.208887127723964,0.200956100525395,0.231378335039335,0.128871329912667,0.193376525119683,0.0817963686965908,0.136776051163221,0.183497162585657,0.107249414476992
"NIC15",0.122468895115585,0.174826138454435,0.0874820687705125,0.109560884447435,0.135471336055176,0.108791684157646,0.145298707579679,0.208212700810247,0.0679747901251667,0.118635904038201,0.159445494771596,0.076027769530789
"NIC18",0.187131827282359,0.183878162686582,0.213918813989745,0.268054666008643,0.149350275601237,0.345815867886555,0.088739518945523,0.154721759049055,0.0602189575053031,0.107796249891998,0.110340367532075,0.0923269296429145
"NIC17",0.204266912302172,0.21758009415582,0.150219716904084,0.182266637160682,0.178734892593417,0.180992818583875,0.132092199773673,0.1918764774893,0.0856879137070189,0.13258048205005,0.14087809940749,0.0910304337959421
"NIC3",0.301495493308436,0.282817157100027,0.189124266150182,0.220313570649823,0.259165604369946,0.230058610816788,0.207433218434991,0.211957366171891,0.135841110417431,0.144597579573092,0.190724970751958,0.171261609547606
"NIC22",0.190435508111491,0.150773673630516,0.149587981347521,0.181766522637875,0.126357829068512,0.158836768045589,0.132760121349776,0.113180483028948,0.102123891240552,0.129384249340119,0.0824959665237559,0.101077938262132
"NIC19",0.150128618068209,0.174159203619771,0.176004403607721,0.190900195144098,0.165791476608185,0.0863594071488462,0.105548284198517,0.0987767724175567,0.0723312750098713,0.112785729930756,0.0908380510408127,0.0414320046625605
"NIC20",0.0256334103765077,0.0137452228190314,0.0235505106260926,0.0357080825709034,0.0149080220119428,0.0163645999079731,0.0232234456783387,0.0246472763945043,0.0372974345452081,0.0238748009533668,0.0257907059727123,0.0336411827563628
"NIC13",0.287780867794459,0.292195049706676,0.289194580592764,0.286165747565403,0.288010939395955,0.277512246852071,0.217129801580695,0.245423014148998,0.19952364678415,0.2012086046586,0.22417794683247,0.192253568498053
"NIC7",0.0526496498362185,0.0378195005917246,0.0523997924297282,0.0485810792533728,0.043874986375038,0.0538236372971045,0.0589433562579029,0.0781420695310537,0.0945798540233416,0.0527678784265853,0.0852793574194054,0.0884905109031447
"MEAN",0.181491681270796,0.194535164005343,0.172559600258826,0.195965785235703,0.181994736604258,0.167782111581467,0.126609263017471,0.147397316621092,0.0986401803846725,0.125919402908324,0.129889014280844,0.101388610272295
"TIME",1232.07006049156,1228.11557841301,1134.99063229561,1213.47089934349,1175.52376103401,1162.73505091667,1261.73196768761,1199.34127736092,1126.62015485764,1212.80964279175,1164.60717940331,1120.5397362709
