"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"Cancer cells",0.107364636066218,0.0483399888030421,0.112013797531515,0,0.0746566983408497,0.0503065252760958,0.131152305253223,0.304388731675515,0.506586869377606,0.0601571879648458,0.107346687083956,0.0484679722096353,0.0411327217834287,0.0262660965990499,0.0382082399841673,0.197180250852549,0.0235470402639733,0.0451020698217811,0.29287838631172,0.44024012178475,0.573134431261526,0.866958818294018,0.122417680128123
"Stromal cells",0.560099975839601,0.666505132744056,0.489019888872377,0.946790442285091,0.607671995483987,0.711650361080825,0.62950894544574,0.529749895378426,0.27747632025725,0.616059260963513,0.533188050877282,0.590071060042888,0.60626042921466,0.632148597323663,0.78122699275699,0.454929327406594,0.815549208031365,0.850169505069791,0.618892375803816,0.534948690076584,0.318499505407415,0.108782149229798,0.478172320669711
"Macro/mono Lineage",0.0287865517949395,0.0269067045288217,0.0757185360053918,0.0205132267370908,0.0829311707320506,0.101722989011668,0.0450971208699268,0.00891091400138189,0.0260291167164248,0.0475130019927523,0.0474475827237784,0.0208509535818012,0.114663816983126,0.071462149719891,0.153410658233672,0.0547491595585004,0.0222261670990397,0.0644634253946633,0.0086790285447699,0.0108274928524399,0.000692721593072246,0.00287333280256001,0.213328310049762
"Bcells",0,0,0,0,0,0,0,0,0.000968222011392273,0,0,0,0,0.00158609238955366,0,0,0.0034733836794205,0,0,0,0,0,0
"Regulatory CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD4 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proliferative Tcells",0.303748836299241,0.25824817392408,0.323247777590716,0.0326963309778185,0.234740135443113,0.136320124631411,0.19424162843111,0.156950458944677,0.188939471637326,0.276270549078889,0.312017679314984,0.340610014165676,0.237943032018785,0.268537063967843,0.0271541090251702,0.293141262182357,0.135204200926201,0.0402649997137646,0.0795502093396943,0.0139836952862263,0.107673341737987,0.0213856996736249,0.186081689152405
"NK cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8 Tcells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
